,prompt,region,object,country,img_id
229,stall in Nigeria,Africa,stall,Nigeria,229
230,stall in South Africa,Africa,stall,South Africa,230
231,stall in Egypt,Africa,stall,Egypt,231
232,stall in Nigeria,Africa,stall,Nigeria,232
233,stall in South Africa,Africa,stall,South Africa,233
234,stall in Egypt,Africa,stall,Egypt,234
235,stall in Nigeria,Africa,stall,Nigeria,235
236,stall in South Africa,Africa,stall,South Africa,236
237,stall in Egypt,Africa,stall,Egypt,237
238,stall in Nigeria,Africa,stall,Nigeria,238
239,stall in South Africa,Africa,stall,South Africa,239
240,stall in Egypt,Africa,stall,Egypt,240
241,stall in Nigeria,Africa,stall,Nigeria,241
242,stall in South Africa,Africa,stall,South Africa,242
243,stall in Egypt,Africa,stall,Egypt,243
244,stall in Nigeria,Africa,stall,Nigeria,244
245,stall in South Africa,Africa,stall,South Africa,245
246,stall in Egypt,Africa,stall,Egypt,246
247,stall in Nigeria,Africa,stall,Nigeria,247
248,stall in South Africa,Africa,stall,South Africa,248
249,stall in Egypt,Africa,stall,Egypt,249
250,stall in Nigeria,Africa,stall,Nigeria,250
251,stall in South Africa,Africa,stall,South Africa,251
252,stall in Egypt,Africa,stall,Egypt,252
253,stall in Nigeria,Africa,stall,Nigeria,253
254,stall in South Africa,Africa,stall,South Africa,254
255,stall in Egypt,Africa,stall,Egypt,255
256,stall in Nigeria,Africa,stall,Nigeria,256
257,stall in South Africa,Africa,stall,South Africa,257
258,stall in Egypt,Africa,stall,Egypt,258
259,stall in Nigeria,Africa,stall,Nigeria,259
260,stall in South Africa,Africa,stall,South Africa,260
261,stall in Egypt,Africa,stall,Egypt,261
262,stall in Nigeria,Africa,stall,Nigeria,262
263,stall in South Africa,Africa,stall,South Africa,263
264,stall in Egypt,Africa,stall,Egypt,264
265,stall in Nigeria,Africa,stall,Nigeria,265
266,stall in South Africa,Africa,stall,South Africa,266
267,stall in Egypt,Africa,stall,Egypt,267
268,stall in Nigeria,Africa,stall,Nigeria,268
269,stall in South Africa,Africa,stall,South Africa,269
270,stall in Egypt,Africa,stall,Egypt,270
271,stall in Nigeria,Africa,stall,Nigeria,271
272,stall in South Africa,Africa,stall,South Africa,272
273,stall in Egypt,Africa,stall,Egypt,273
274,stall in Nigeria,Africa,stall,Nigeria,274
275,stall in South Africa,Africa,stall,South Africa,275
276,stall in Egypt,Africa,stall,Egypt,276
277,stall in Nigeria,Africa,stall,Nigeria,277
278,stall in South Africa,Africa,stall,South Africa,278
279,stall in Egypt,Africa,stall,Egypt,279
280,stall in Nigeria,Africa,stall,Nigeria,280
281,stall in South Africa,Africa,stall,South Africa,281
282,stall in Egypt,Africa,stall,Egypt,282
283,stall in Nigeria,Africa,stall,Nigeria,283
284,stall in South Africa,Africa,stall,South Africa,284
285,stall in Egypt,Africa,stall,Egypt,285
286,stall in Nigeria,Africa,stall,Nigeria,286
287,stall in South Africa,Africa,stall,South Africa,287
288,stall in Egypt,Africa,stall,Egypt,288
289,stall in Nigeria,Africa,stall,Nigeria,289
290,stall in South Africa,Africa,stall,South Africa,290
291,stall in Egypt,Africa,stall,Egypt,291
292,stall in Nigeria,Africa,stall,Nigeria,292
293,stall in South Africa,Africa,stall,South Africa,293
294,stall in Egypt,Africa,stall,Egypt,294
295,stall in Nigeria,Africa,stall,Nigeria,295
296,stall in South Africa,Africa,stall,South Africa,296
297,stall in Egypt,Africa,stall,Egypt,297
298,stall in Nigeria,Africa,stall,Nigeria,298
299,stall in South Africa,Africa,stall,South Africa,299
300,stall in Egypt,Africa,stall,Egypt,300
301,stall in Nigeria,Africa,stall,Nigeria,301
302,stall in South Africa,Africa,stall,South Africa,302
303,stall in Egypt,Africa,stall,Egypt,303
304,stall in Nigeria,Africa,stall,Nigeria,304
305,stall in South Africa,Africa,stall,South Africa,305
306,stall in Egypt,Africa,stall,Egypt,306
307,stall in Nigeria,Africa,stall,Nigeria,307
308,stall in South Africa,Africa,stall,South Africa,308
309,stall in Egypt,Africa,stall,Egypt,309
310,stall in Nigeria,Africa,stall,Nigeria,310
311,stall in South Africa,Africa,stall,South Africa,311
312,stall in Egypt,Africa,stall,Egypt,312
313,stall in Nigeria,Africa,stall,Nigeria,313
314,stall in South Africa,Africa,stall,South Africa,314
315,stall in Egypt,Africa,stall,Egypt,315
316,stall in Nigeria,Africa,stall,Nigeria,316
317,stall in South Africa,Africa,stall,South Africa,317
318,stall in Egypt,Africa,stall,Egypt,318
319,stall in Nigeria,Africa,stall,Nigeria,319
320,stall in South Africa,Africa,stall,South Africa,320
321,stall in Egypt,Africa,stall,Egypt,321
322,stall in Nigeria,Africa,stall,Nigeria,322
323,stall in South Africa,Africa,stall,South Africa,323
324,stall in Egypt,Africa,stall,Egypt,324
325,stall in Nigeria,Africa,stall,Nigeria,325
326,stall in South Africa,Africa,stall,South Africa,326
327,stall in Egypt,Africa,stall,Egypt,327
328,stall in Nigeria,Africa,stall,Nigeria,328
329,stall in South Africa,Africa,stall,South Africa,329
330,stall in Egypt,Africa,stall,Egypt,330
331,stall in Nigeria,Africa,stall,Nigeria,331
332,stall in South Africa,Africa,stall,South Africa,332
333,stall in Egypt,Africa,stall,Egypt,333
334,stall in Nigeria,Africa,stall,Nigeria,334
335,stall in South Africa,Africa,stall,South Africa,335
336,stall in Egypt,Africa,stall,Egypt,336
337,stall in Nigeria,Africa,stall,Nigeria,337
338,stall in South Africa,Africa,stall,South Africa,338
339,stall in Egypt,Africa,stall,Egypt,339
340,stall in Nigeria,Africa,stall,Nigeria,340
341,stall in South Africa,Africa,stall,South Africa,341
342,stall in Egypt,Africa,stall,Egypt,342
343,stall in Nigeria,Africa,stall,Nigeria,343
344,stall in South Africa,Africa,stall,South Africa,344
345,stall in Egypt,Africa,stall,Egypt,345
346,stall in Nigeria,Africa,stall,Nigeria,346
347,stall in South Africa,Africa,stall,South Africa,347
348,stall in Egypt,Africa,stall,Egypt,348
349,stall in Nigeria,Africa,stall,Nigeria,349
350,stall in South Africa,Africa,stall,South Africa,350
351,stall in Egypt,Africa,stall,Egypt,351
352,stall in Nigeria,Africa,stall,Nigeria,352
353,stall in South Africa,Africa,stall,South Africa,353
354,stall in Egypt,Africa,stall,Egypt,354
355,stall in Nigeria,Africa,stall,Nigeria,355
356,stall in South Africa,Africa,stall,South Africa,356
357,stall in Egypt,Africa,stall,Egypt,357
358,stall in Nigeria,Africa,stall,Nigeria,358
359,stall in South Africa,Africa,stall,South Africa,359
360,stall in Egypt,Africa,stall,Egypt,360
361,stall in Nigeria,Africa,stall,Nigeria,361
362,stall in South Africa,Africa,stall,South Africa,362
363,stall in Egypt,Africa,stall,Egypt,363
364,stall in Nigeria,Africa,stall,Nigeria,364
365,stall in South Africa,Africa,stall,South Africa,365
366,stall in Egypt,Africa,stall,Egypt,366
367,stall in Nigeria,Africa,stall,Nigeria,367
368,stall in South Africa,Africa,stall,South Africa,368
369,stall in Egypt,Africa,stall,Egypt,369
370,stall in Nigeria,Africa,stall,Nigeria,370
371,stall in South Africa,Africa,stall,South Africa,371
372,stall in Egypt,Africa,stall,Egypt,372
373,stall in Nigeria,Africa,stall,Nigeria,373
374,stall in South Africa,Africa,stall,South Africa,374
375,stall in Egypt,Africa,stall,Egypt,375
376,stall in Nigeria,Africa,stall,Nigeria,376
377,stall in South Africa,Africa,stall,South Africa,377
378,stall in Egypt,Africa,stall,Egypt,378
379,stall in Nigeria,Africa,stall,Nigeria,379
380,stall in South Africa,Africa,stall,South Africa,380
381,stall in Egypt,Africa,stall,Egypt,381
382,stall in Nigeria,Africa,stall,Nigeria,382
383,stall in South Africa,Africa,stall,South Africa,383
384,stall in Egypt,Africa,stall,Egypt,384
385,stall in Nigeria,Africa,stall,Nigeria,385
386,stall in South Africa,Africa,stall,South Africa,386
387,stall in Egypt,Africa,stall,Egypt,387
388,stall in Nigeria,Africa,stall,Nigeria,388
389,stall in South Africa,Africa,stall,South Africa,389
390,stall in Egypt,Africa,stall,Egypt,390
391,stall in Nigeria,Africa,stall,Nigeria,391
392,stall in South Africa,Africa,stall,South Africa,392
393,stall in Egypt,Africa,stall,Egypt,393
394,stall in Nigeria,Africa,stall,Nigeria,394
395,stall in South Africa,Africa,stall,South Africa,395
396,stall in Egypt,Africa,stall,Egypt,396
397,stall in Nigeria,Africa,stall,Nigeria,397
398,stall in South Africa,Africa,stall,South Africa,398
399,stall in Egypt,Africa,stall,Egypt,399
400,stall in Nigeria,Africa,stall,Nigeria,400
401,stall in South Africa,Africa,stall,South Africa,401
402,stall in Egypt,Africa,stall,Egypt,402
403,stall in Nigeria,Africa,stall,Nigeria,403
404,stall in South Africa,Africa,stall,South Africa,404
405,stall in Egypt,Africa,stall,Egypt,405
406,stall in Nigeria,Africa,stall,Nigeria,406
407,stall in Colombia,the Americas,stall,Colombia,407
408,stall in Argentina,the Americas,stall,Argentina,408
409,stall in Mexico,the Americas,stall,Mexico,409
410,stall in Colombia,the Americas,stall,Colombia,410
411,stall in Argentina,the Americas,stall,Argentina,411
412,stall in Mexico,the Americas,stall,Mexico,412
413,stall in Colombia,the Americas,stall,Colombia,413
414,stall in Argentina,the Americas,stall,Argentina,414
415,stall in Mexico,the Americas,stall,Mexico,415
416,stall in Colombia,the Americas,stall,Colombia,416
417,stall in Argentina,the Americas,stall,Argentina,417
418,stall in Mexico,the Americas,stall,Mexico,418
419,stall in Colombia,the Americas,stall,Colombia,419
420,stall in Argentina,the Americas,stall,Argentina,420
421,stall in Mexico,the Americas,stall,Mexico,421
422,stall in Colombia,the Americas,stall,Colombia,422
423,stall in Argentina,the Americas,stall,Argentina,423
424,stall in Mexico,the Americas,stall,Mexico,424
425,stall in Colombia,the Americas,stall,Colombia,425
426,stall in Argentina,the Americas,stall,Argentina,426
427,stall in Mexico,the Americas,stall,Mexico,427
428,stall in Colombia,the Americas,stall,Colombia,428
429,stall in Argentina,the Americas,stall,Argentina,429
430,stall in Mexico,the Americas,stall,Mexico,430
431,stall in Colombia,the Americas,stall,Colombia,431
432,stall in Argentina,the Americas,stall,Argentina,432
433,stall in Mexico,the Americas,stall,Mexico,433
434,stall in Colombia,the Americas,stall,Colombia,434
435,stall in Argentina,the Americas,stall,Argentina,435
436,stall in Mexico,the Americas,stall,Mexico,436
437,stall in Colombia,the Americas,stall,Colombia,437
438,stall in Argentina,the Americas,stall,Argentina,438
439,stall in Mexico,the Americas,stall,Mexico,439
440,stall in Colombia,the Americas,stall,Colombia,440
441,stall in Argentina,the Americas,stall,Argentina,441
442,stall in Mexico,the Americas,stall,Mexico,442
443,stall in Colombia,the Americas,stall,Colombia,443
444,stall in Argentina,the Americas,stall,Argentina,444
445,stall in Mexico,the Americas,stall,Mexico,445
446,stall in Colombia,the Americas,stall,Colombia,446
447,stall in Argentina,the Americas,stall,Argentina,447
448,stall in Mexico,the Americas,stall,Mexico,448
449,stall in Colombia,the Americas,stall,Colombia,449
450,stall in Argentina,the Americas,stall,Argentina,450
451,stall in Mexico,the Americas,stall,Mexico,451
452,stall in Colombia,the Americas,stall,Colombia,452
453,stall in Argentina,the Americas,stall,Argentina,453
454,stall in Mexico,the Americas,stall,Mexico,454
455,stall in Colombia,the Americas,stall,Colombia,455
456,stall in Argentina,the Americas,stall,Argentina,456
457,stall in Mexico,the Americas,stall,Mexico,457
458,stall in Colombia,the Americas,stall,Colombia,458
459,stall in Argentina,the Americas,stall,Argentina,459
460,stall in Mexico,the Americas,stall,Mexico,460
461,stall in Colombia,the Americas,stall,Colombia,461
462,stall in Argentina,the Americas,stall,Argentina,462
463,stall in Mexico,the Americas,stall,Mexico,463
464,stall in Colombia,the Americas,stall,Colombia,464
465,stall in Argentina,the Americas,stall,Argentina,465
466,stall in Mexico,the Americas,stall,Mexico,466
467,stall in Colombia,the Americas,stall,Colombia,467
468,stall in Argentina,the Americas,stall,Argentina,468
469,stall in Mexico,the Americas,stall,Mexico,469
470,stall in Colombia,the Americas,stall,Colombia,470
471,stall in Argentina,the Americas,stall,Argentina,471
472,stall in Mexico,the Americas,stall,Mexico,472
473,stall in Colombia,the Americas,stall,Colombia,473
474,stall in Argentina,the Americas,stall,Argentina,474
475,stall in Mexico,the Americas,stall,Mexico,475
476,stall in Colombia,the Americas,stall,Colombia,476
477,stall in Argentina,the Americas,stall,Argentina,477
478,stall in Mexico,the Americas,stall,Mexico,478
479,stall in Colombia,the Americas,stall,Colombia,479
480,stall in Argentina,the Americas,stall,Argentina,480
481,stall in Mexico,the Americas,stall,Mexico,481
482,stall in Colombia,the Americas,stall,Colombia,482
483,stall in Argentina,the Americas,stall,Argentina,483
484,stall in Mexico,the Americas,stall,Mexico,484
485,stall in Colombia,the Americas,stall,Colombia,485
486,stall in Argentina,the Americas,stall,Argentina,486
487,stall in Mexico,the Americas,stall,Mexico,487
488,stall in Colombia,the Americas,stall,Colombia,488
489,stall in Argentina,the Americas,stall,Argentina,489
490,stall in Mexico,the Americas,stall,Mexico,490
491,stall in Colombia,the Americas,stall,Colombia,491
492,stall in Argentina,the Americas,stall,Argentina,492
493,stall in Mexico,the Americas,stall,Mexico,493
494,stall in Colombia,the Americas,stall,Colombia,494
495,stall in Argentina,the Americas,stall,Argentina,495
496,stall in Mexico,the Americas,stall,Mexico,496
497,stall in Colombia,the Americas,stall,Colombia,497
498,stall in Argentina,the Americas,stall,Argentina,498
499,stall in Mexico,the Americas,stall,Mexico,499
500,stall in Colombia,the Americas,stall,Colombia,500
501,stall in Argentina,the Americas,stall,Argentina,501
502,stall in Mexico,the Americas,stall,Mexico,502
503,stall in Colombia,the Americas,stall,Colombia,503
504,stall in Argentina,the Americas,stall,Argentina,504
505,stall in Mexico,the Americas,stall,Mexico,505
506,stall in Colombia,the Americas,stall,Colombia,506
507,stall in Argentina,the Americas,stall,Argentina,507
508,stall in Mexico,the Americas,stall,Mexico,508
509,stall in Colombia,the Americas,stall,Colombia,509
510,stall in Argentina,the Americas,stall,Argentina,510
511,stall in Mexico,the Americas,stall,Mexico,511
512,stall in Colombia,the Americas,stall,Colombia,512
513,stall in Argentina,the Americas,stall,Argentina,513
514,stall in Mexico,the Americas,stall,Mexico,514
515,stall in Colombia,the Americas,stall,Colombia,515
516,stall in Argentina,the Americas,stall,Argentina,516
517,stall in Mexico,the Americas,stall,Mexico,517
518,stall in Colombia,the Americas,stall,Colombia,518
519,stall in Argentina,the Americas,stall,Argentina,519
520,stall in Mexico,the Americas,stall,Mexico,520
521,stall in Colombia,the Americas,stall,Colombia,521
522,stall in Argentina,the Americas,stall,Argentina,522
523,stall in Mexico,the Americas,stall,Mexico,523
524,stall in Colombia,the Americas,stall,Colombia,524
525,stall in Argentina,the Americas,stall,Argentina,525
526,stall in Mexico,the Americas,stall,Mexico,526
527,stall in Colombia,the Americas,stall,Colombia,527
528,stall in Argentina,the Americas,stall,Argentina,528
529,stall in Mexico,the Americas,stall,Mexico,529
530,stall in Colombia,the Americas,stall,Colombia,530
531,stall in Argentina,the Americas,stall,Argentina,531
532,stall in Mexico,the Americas,stall,Mexico,532
533,stall in Colombia,the Americas,stall,Colombia,533
534,stall in Argentina,the Americas,stall,Argentina,534
535,stall in Mexico,the Americas,stall,Mexico,535
536,stall in Colombia,the Americas,stall,Colombia,536
537,stall in Argentina,the Americas,stall,Argentina,537
538,stall in Mexico,the Americas,stall,Mexico,538
539,stall in Colombia,the Americas,stall,Colombia,539
540,stall in Argentina,the Americas,stall,Argentina,540
541,stall in Mexico,the Americas,stall,Mexico,541
542,stall in Colombia,the Americas,stall,Colombia,542
543,stall in Argentina,the Americas,stall,Argentina,543
544,stall in Mexico,the Americas,stall,Mexico,544
545,stall in Colombia,the Americas,stall,Colombia,545
546,stall in Argentina,the Americas,stall,Argentina,546
547,stall in Mexico,the Americas,stall,Mexico,547
548,stall in Colombia,the Americas,stall,Colombia,548
549,stall in Argentina,the Americas,stall,Argentina,549
550,stall in Mexico,the Americas,stall,Mexico,550
551,stall in Colombia,the Americas,stall,Colombia,551
552,stall in Argentina,the Americas,stall,Argentina,552
553,stall in Mexico,the Americas,stall,Mexico,553
554,stall in Colombia,the Americas,stall,Colombia,554
555,stall in Argentina,the Americas,stall,Argentina,555
556,stall in Mexico,the Americas,stall,Mexico,556
557,stall in Colombia,the Americas,stall,Colombia,557
558,stall in Argentina,the Americas,stall,Argentina,558
559,stall in Mexico,the Americas,stall,Mexico,559
560,stall in Colombia,the Americas,stall,Colombia,560
561,stall in Argentina,the Americas,stall,Argentina,561
562,stall in Mexico,the Americas,stall,Mexico,562
563,stall in Colombia,the Americas,stall,Colombia,563
